role_id_15,group_id_15,group_name_15,functional_15,role_name_15,group_id_19,group_name_19,privilege_id_19,privilege_name_19,category_id_19,category_name_19,xml_ids_19,score,reasons
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,35,Use Milestones,,,,,project.group_project_milestone,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
73,103,Tipo Usuario: Rol Administrador,Tipo Usuario,Administrador,44,Consultas Postgres,,,,,sicpro_modulo_querydb.group_querydeluxe,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,36,Usuario,10,Gestor Documental,107,Servicios Corporativos,sicpro_app_gestor_documental.group_document_user,60,ROLE_NAME_EXACT;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,38,Usuario,11,Salón de Clases,107,Servicios Corporativos,sicpro_app_salon_clases.grupo_app_salon_clases_usuario,60,ROLE_NAME_EXACT;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,41,Usuario,12,Registros de auditoría,115,Registro de auditoría,sicpro_modulo_auditorias.group_auditlog_user,60,ROLE_NAME_EXACT;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,90,Usuario,30,Repositorio DVPE.,107,Servicios Corporativos,sicpro_app_repositorio_institucional.group_repositorio_institucional_user,60,ROLE_NAME_EXACT;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,95,Usuario,31,Reuniones,105,Gestión de Reuniones,sicpro_app_reuniones.group_reuniones_usuario,60,ROLE_NAME_EXACT;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,100,Usuario,32,Servicios Internos,107,Servicios Corporativos,sicpro_app_servicios_internos.grupo_app_internos_usuario,60,ROLE_NAME_EXACT;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,105,Usuario,33,Solicitudes de S.I.,107,Servicios Corporativos,sicpro_app_servicios_internos.grupo_app_internos_solicitudes_usuario,60,ROLE_NAME_EXACT;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,134,Usuario,43,Operaciones,110,Programa de la Vivienda,sicpro_app_programa_viviendas.grupo_app_vivienda_visualizar,60,ROLE_NAME_EXACT;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,46,Usuarios,15,CMI,108,Gestión de Producción,sicpro_app_cmi.grupo_app_cmi_usuario,35,ROLE_NAME_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,50,Usuarios,16,Materiales e Insumos,102,Preparación Técnica,sicpro_app_materiales_insumos.grupo_app_materiales_insumos_usuario,35,ROLE_NAME_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,54,Usuarios,17,Usuario del Proceso,97,Capital Humano,sicpro_app_trabajadores.grupo_app_trabajador_usuario_proceso,35,ROLE_NAME_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,86,Usuarios,29,Metrología,106,Activos y Herramientas,sicpro_app_metrologia.grupo_app_metrologia_usuario,35,ROLE_NAME_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,113,Usuarios,36,Transporte,98,Transportación,sicpro_app_transporte.grupo_app_transporte_usuario,35,ROLE_NAME_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,117,Usuarios,37,Piquera,98,Transportación,sicpro_app_transporte.grupo_app_transporte_piquera_usuario,35,ROLE_NAME_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,126,Usuarios,40,Clientes,101,Solicitudes de Obras,sicpro_app_clientes.grupo_app_clientes_usuario,35,ROLE_NAME_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,130,Usuarios,41,Instrucciones,97,Capital Humano,sicpro_app_instrucciones.grupo_app_instruciones_usuario,35,ROLE_NAME_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,141,Usuarios,44,Solicitudes,101,Solicitudes de Obras,sicpro_app_solicitudes.grupo_app_solicitud_usuario,35,ROLE_NAME_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,1,Role / User,,,,,base.group_user,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,2,Access Rights,,,,,base.group_erp_manager,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,3,Bypass HTML Field Sanitize,,,,,base.group_sanitize_override,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,4,Role / Administrator,,,,,base.group_system,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,5,Multi Companies,,,,,base.group_multi_company,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,6,Multi Currencies,,,,,base.group_multi_currency,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,7,Technical Features,,,,,base.group_no_one,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,10,Role / Portal,,,,,base.group_portal,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,11,Role / Public,,,,,base.group_public,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,12,Default access for new users,,,,,base.default_user_group,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,13,Technical Documentation,,,,,api_doc.group_allow_doc,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,15,Mail Template Editor,,,,,mail.group_mail_template_editor,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,16,Receive notifications in Odoo,,,,,mail.group_mail_notification_type_inbox,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
78,108,Contratación: Rol Usuario,Contratación,Usuario,25,Menus y Accesos Obsoletos,,,,,sicpro_app_administracion.grupo_app_administracion_obsoletos,25,PRIVILEGE_PARTIAL;HAS_XMLID_19
